cell_id,genotype_id,is_driver,is_resistant,mother_genotype_id,mutation_id,x,y,z
5235,495,1.0,0.0,278.0,277.0,-1,0,23
5241,495,1.0,0.0,278.0,277.0,-12,-5,15
5247,495,1.0,0.0,278.0,277.0,-8,12,7
5253,495,1.0,0.0,278.0,277.0,-7,5,0
5306,495,1.0,0.0,278.0,277.0,2,17,15
5323,495,1.0,0.0,278.0,277.0,-6,-2,22
5330,495,1.0,0.0,278.0,277.0,-28,-2,13
5375,495,1.0,0.0,278.0,277.0,-13,-7,12
5381,495,1.0,0.0,278.0,277.0,-13,-12,13
5405,495,1.0,0.0,278.0,277.0,-16,-3,13
5467,495,1.0,0.0,278.0,277.0,-15,17,6
5506,495,1.0,0.0,278.0,277.0,-16,13,-3
5513,495,1.0,0.0,278.0,277.0,-2,15,11
5517,495,1.0,0.0,278.0,277.0,-23,-12,15
5595,495,1.0,0.0,278.0,277.0,-15,0,4
5619,495,1.0,0.0,278.0,277.0,-24,-1,21
5629,495,1.0,0.0,278.0,277.0,-4,16,9
5638,495,1.0,0.0,278.0,277.0,-7,-8,8
5661,495,1.0,0.0,278.0,277.0,0,15,15
5681,495,1.0,0.0,278.0,277.0,-17,4,8
5688,495,1.0,0.0,278.0,277.0,-4,15,20
5693,495,1.0,0.0,278.0,277.0,-1,16,35
5706,495,1.0,0.0,278.0,277.0,-21,12,6
5714,495,1.0,0.0,278.0,277.0,-11,17,15
5802,495,1.0,0.0,278.0,277.0,-6,-8,10
5822,495,1.0,0.0,278.0,277.0,-16,0,4
5825,495,1.0,0.0,278.0,277.0,-21,-23,12
5836,495,1.0,0.0,278.0,277.0,-14,13,13
5917,495,1.0,0.0,278.0,277.0,0,7,8
5926,495,1.0,0.0,278.0,277.0,-8,18,21
5927,495,1.0,0.0,278.0,277.0,-14,-3,5
5991,495,1.0,0.0,278.0,277.0,-26,-5,26
6007,495,1.0,0.0,278.0,277.0,0,20,16
6043,495,1.0,0.0,278.0,277.0,-26,37,53
6050,495,1.0,0.0,278.0,277.0,-23,17,0
6067,495,1.0,0.0,278.0,277.0,-13,0,-3
6091,495,1.0,0.0,278.0,277.0,-18,22,3
6092,495,1.0,0.0,278.0,277.0,-11,0,6
6106,495,1.0,0.0,278.0,277.0,-28,4,22
6107,495,1.0,0.0,278.0,277.0,-20,4,14
6141,495,1.0,0.0,278.0,277.0,-3,-7,23
6147,495,1.0,0.0,278.0,277.0,0,17,16
6152,495,1.0,0.0,278.0,277.0,-9,-8,8
6166,495,1.0,0.0,278.0,277.0,-23,4,25
6209,495,1.0,0.0,278.0,277.0,-20,7,17
6217,495,1.0,0.0,278.0,277.0,-27,6,16
6223,495,1.0,0.0,278.0,277.0,-13,15,17
6260,495,1.0,0.0,278.0,277.0,-11,-8,10
6285,495,1.0,0.0,278.0,277.0,-15,7,12
6318,495,1.0,0.0,278.0,277.0,-21,7,13
6329,495,1.0,0.0,278.0,277.0,-16,13,-11
6332,495,1.0,0.0,278.0,277.0,-14,19,-1
6382,495,1.0,0.0,278.0,277.0,-4,21,21
6394,495,1.0,0.0,278.0,277.0,-5,20,9
6406,495,1.0,0.0,278.0,277.0,-23,-12,10
6409,495,1.0,0.0,278.0,277.0,-14,3,21
6417,495,1.0,0.0,278.0,277.0,-29,3,12
6428,495,1.0,0.0,278.0,277.0,-21,10,6
6469,495,1.0,0.0,278.0,277.0,-8,0,3
6482,495,1.0,0.0,278.0,277.0,-13,8,19
6488,495,1.0,0.0,278.0,277.0,-6,-3,13
6505,495,1.0,0.0,278.0,277.0,-26,9,23
6550,495,1.0,0.0,278.0,277.0,-27,10,25
6553,495,1.0,0.0,278.0,277.0,-7,18,37
6560,495,1.0,0.0,278.0,277.0,-26,-6,-1
6561,495,1.0,0.0,278.0,277.0,-16,11,1
6594,495,1.0,0.0,278.0,277.0,4,16,24
6596,495,1.0,0.0,278.0,277.0,-19,13,18
6614,495,1.0,0.0,278.0,277.0,-12,18,4
6687,495,1.0,0.0,278.0,277.0,-7,4,12
6697,495,1.0,0.0,278.0,277.0,-10,19,12
6719,495,1.0,0.0,278.0,277.0,3,-1,23
6723,495,1.0,0.0,278.0,277.0,-14,5,10
6755,495,1.0,0.0,278.0,277.0,-11,1,31
6792,495,1.0,0.0,278.0,277.0,-4,-9,8
6807,495,1.0,0.0,278.0,277.0,-19,0,-2
6858,495,1.0,0.0,278.0,277.0,-15,0,0
6860,495,1.0,0.0,278.0,277.0,-10,2,32
6866,495,1.0,0.0,278.0,277.0,-25,12,24
6889,495,1.0,0.0,278.0,277.0,-20,-10,9
6901,495,1.0,0.0,278.0,277.0,-29,12,10
6907,495,1.0,0.0,278.0,277.0,-19,-6,7
6936,495,1.0,0.0,278.0,277.0,-27,0,21
